team: , id: -Ace, name: Brandon Winn, wiki: counterstrike
, team: , id: Izzy-, name: Muhammad Izad bin Rosdi, wiki: counterstrike
, team: , id: J0hnny, name: Marcus Gabriel, wiki: counterstrike
, team: , id: JACKPOT, name: Vladimir Yuryevich Dyakonov, wiki: counterstrike
, team: , id: JALLU, name: Jyri Tenhunen, wiki: counterstrike
, team: , id: JESMUND, name: Jesse Teru00e4vu00e4, wiki: counterstrike
, team: , id: JKaplan, name: Jason Kaplan, wiki: counterstrike
, team: , id: JOKER, name: Omar Aldaradkeh, wiki: counterstrike
, team: , id: JOKERN, name: Magnus Barthel, wiki: counterstrike
, team: , id: JORDAN, name: Jordan Tau0161koviu0107, wiki: counterstrike
, team: , id: JRM, name: , wiki: counterstrike
, team: , id: JRT, name: John Tsoupanarias, wiki: counterstrike
, team: , id: JT, name: Joe Talbot, wiki: counterstrike
, team: , id: JUGi, name: Jakob Rask Hansen, wiki: counterstrike
, team: , id: JUNiOR, name: Sawada Yuya, wiki: counterstrike
, team: , id: JUSTCAUSE, name: Tuchpong Pongthanadechakit, wiki: counterstrike
